"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"unbranchedDeterminate",1,1,0,1e-04,0.05,0.25,"uniform",2.5,NA,5,0,0.05,0
"branchedDeterminate",1,1,0,1e-04,0.05,0.25,"uniform",2.5,NA,5,0,0.05,1
"unbranchedDeterminate",1,1,0,1e-04,0.5,0.25,"uniform",2.5,NA,5,0,0.5,0
"branchedDeterminate",1,1,0,1e-04,0.5,0.25,"uniform",2.5,NA,5,0,0.5,1
"unbranchedDeterminate",1,1,0,1e-04,1,0.25,"uniform",2.5,NA,5,0,1,0
"branchedDeterminate",1,1,0,1e-04,1,0.25,"uniform",2.5,NA,5,0,1,1
"unbranchedDeterminate",1,1,0,1e-04,1.5,0.25,"uniform",2.5,NA,5,0,1.5,0
"branchedDeterminate",1,1,0,1e-04,1.5,0.25,"uniform",2.5,NA,5,0,1.5,1
"unbranchedDeterminate",1,1,0,1e-04,2,0.25,"uniform",2.5,NA,5,0,2,0
"branchedDeterminate",1,1,0,1e-04,2,0.25,"uniform",2.5,NA,5,0,2,1
"unbranchedDeterminate",1,1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05,0
"branchedDeterminate",1,1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05,1
"unbranchedDeterminate",1,1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5,0
"branchedDeterminate",1,1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5,1
"unbranchedDeterminate",1,1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1,0
"branchedDeterminate",1,1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1,1
"unbranchedDeterminate",1,1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5,0
"branchedDeterminate",1,1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5,1
"unbranchedDeterminate",1,1,0,1e-04,2,1,"uniform",2.5,NA,5,0,2,0
"branchedDeterminate",1,1,0,1e-04,2,1,"uniform",2.5,NA,5,0,2,1
"unbranchedDeterminate",1,1,0,1e-04,0.05,1.25,"uniform",2.5,NA,5,0,0.05,0
"branchedDeterminate",1,1,0,1e-04,0.05,1.25,"uniform",2.5,NA,5,0,0.05,1
"unbranchedDeterminate",1,1,0,1e-04,0.5,1.25,"uniform",2.5,NA,5,0,0.5,0
"branchedDeterminate",1,1,0,1e-04,0.5,1.25,"uniform",2.5,NA,5,0,0.5,1
"unbranchedDeterminate",1,1,0,1e-04,1,1.25,"uniform",2.5,NA,5,0,1,0
"branchedDeterminate",1,1,0,1e-04,1,1.25,"uniform",2.5,NA,5,0,1,1
"unbranchedDeterminate",1,1,0,1e-04,1.5,1.25,"uniform",2.5,NA,5,0,1.5,0
"branchedDeterminate",1,1,0,1e-04,1.5,1.25,"uniform",2.5,NA,5,0,1.5,1
"unbranchedDeterminate",1,1,0,1e-04,2,1.25,"uniform",2.5,NA,5,0,2,0
"branchedDeterminate",1,1,0,1e-04,2,1.25,"uniform",2.5,NA,5,0,2,1
