"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"normal",1,1,0,1e-04,0.05,0.05,"normal",2.5,0.1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.05,"normal",2.5,0.1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.05,"normal",2.5,0.1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.05,"normal",2.5,0.1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.5,"normal",2.5,0.1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.5,"normal",2.5,0.1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.5,"normal",2.5,0.1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.5,"normal",2.5,0.1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1,"normal",2.5,0.1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1,"normal",2.5,0.1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1,"normal",2.5,0.1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1,"normal",2.5,0.1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1.5,"normal",2.5,0.1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1.5,"normal",2.5,0.1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1.5,"normal",2.5,0.1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1.5,"normal",2.5,0.1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.05,"normal",2.5,0.5,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.05,"normal",2.5,0.5,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.05,"normal",2.5,0.5,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.05,"normal",2.5,0.5,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.5,"normal",2.5,0.5,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.5,"normal",2.5,0.5,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.5,"normal",2.5,0.5,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.5,"normal",2.5,0.5,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1,"normal",2.5,0.5,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1,"normal",2.5,0.5,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1,"normal",2.5,0.5,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1,"normal",2.5,0.5,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1.5,"normal",2.5,0.5,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1.5,"normal",2.5,0.5,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1.5,"normal",2.5,0.5,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1.5,"normal",2.5,0.5,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.05,"normal",2.5,1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.05,"normal",2.5,1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.05,"normal",2.5,1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.05,"normal",2.5,1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.5,"normal",2.5,1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.5,"normal",2.5,1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.5,"normal",2.5,1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.5,"normal",2.5,1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1,"normal",2.5,1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1,"normal",2.5,1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1,"normal",2.5,1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1,"normal",2.5,1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1.5,"normal",2.5,1,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1.5,"normal",2.5,1,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1.5,"normal",2.5,1,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1.5,"normal",2.5,1,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.05,"normal",2.5,2,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.05,"normal",2.5,2,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.05,"normal",2.5,2,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.05,"normal",2.5,2,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,0.5,"normal",2.5,2,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,0.5,"normal",2.5,2,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,0.5,"normal",2.5,2,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,0.5,"normal",2.5,2,NA,NA,1.5,0
"normal",1,1,0,1e-04,0.05,1,"normal",2.5,2,NA,NA,0.05,0
"normal",1,1,0,1e-04,0.5,1,"normal",2.5,2,NA,NA,0.5,0
"normal",1,1,0,1e-04,1,1,"normal",2.5,2,NA,NA,1,0
"normal",1,1,0,1e-04,1.5,1,"normal",2.5,2,NA,NA,1.5,0
