"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"determinate",1,1,0,1e-04,0.1,0.1,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.1,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.1,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.1,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.1,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.1,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.1,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.1,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.1,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.1,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.2,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.2,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.2,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.2,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.2,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.2,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.2,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.2,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.2,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.2,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.3,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.3,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.3,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.3,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.3,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.3,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.3,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.3,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.3,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.3,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.4,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.4,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.4,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.4,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.4,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.4,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.4,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.4,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.4,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.4,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.5,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.5,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.5,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.5,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.5,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.5,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.5,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.5,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.5,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.5,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.6,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.6,"uniform",NA,NA,1,0,0.2,0
"determinate",1,1,0,1e-04,0.3,0.6,"uniform",NA,NA,1,0,0.3,0
"determinate",1,1,0,1e-04,0.4,0.6,"uniform",NA,NA,1,0,0.4,0
"determinate",1,1,0,1e-04,0.5,0.6,"uniform",NA,NA,1,0,0.5,0
"determinate",1,1,0,1e-04,0.6,0.6,"uniform",NA,NA,1,0,0.6,0
"determinate",1,1,0,1e-04,0.7,0.6,"uniform",NA,NA,1,0,0.7,0
"determinate",1,1,0,1e-04,0.8,0.6,"uniform",NA,NA,1,0,0.8,0
"determinate",1,1,0,1e-04,0.9,0.6,"uniform",NA,NA,1,0,0.9,0
"determinate",1,1,0,1e-04,1,0.6,"uniform",NA,NA,1,0,1,0
"determinate",1,1,0,1e-04,0.1,0.7,"uniform",NA,NA,1,0,0.1,0
"determinate",1,1,0,1e-04,0.2,0.7,"uniform",NA,NA,1,0,0.2,0
