"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,1,0,0.05,0
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,1,0,1.5,0
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,1,0,0.05,0
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,1,0,1.5,0
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,2,0,0.05,0
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,2,0,1.5,0
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,2,0,0.05,0
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,2,0,1.5,0
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,3,0,0.05,0
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,3,0,1.5,0
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,3,0,0.05,0
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,3,0,1.5,0
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,4,0,0.05,0
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,4,0,1.5,0
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,4,0,0.05,0
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,4,0,1.5,0
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,5,0,0.05,0
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,5,0,1.5,0
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,5,0,0.05,0
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,5,0,1.5,0
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,1,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,1,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,1,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,1,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,2,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,2,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,2,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,2,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,3,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,3,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,3,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,3,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,4,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,4,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,4,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,4,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,0.05,"uniform",NA,NA,5,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,0.05,"uniform",NA,NA,5,0,1.5,0.5
"determinate",1,1,0,1e-04,0.05,1.5,"uniform",NA,NA,5,0,0.05,0.5
"determinate",1,1,0,1e-04,1.5,1.5,"uniform",NA,NA,5,0,1.5,0.5
