"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"determinate",1,0.1,0,1e-04,0.05,0.05,"uniform",2.5,NA,5,0,0.05,0
"determinate",1,0.1,0,1e-04,0.1,0.05,"uniform",2.5,NA,5,0,0.1,0
"determinate",1,0.1,0,1e-04,0.5,0.05,"uniform",2.5,NA,5,0,0.5,0
"determinate",1,0.1,0,1e-04,1,0.05,"uniform",2.5,NA,5,0,1,0
"determinate",1,0.1,0,1e-04,1.5,0.05,"uniform",2.5,NA,5,0,1.5,0
"determinate",1,0.1,0,1e-04,0.05,0.1,"uniform",2.5,NA,5,0,0.05,0
"determinate",1,0.1,0,1e-04,0.1,0.1,"uniform",2.5,NA,5,0,0.1,0
"determinate",1,0.1,0,1e-04,0.5,0.1,"uniform",2.5,NA,5,0,0.5,0
"determinate",1,0.1,0,1e-04,1,0.1,"uniform",2.5,NA,5,0,1,0
"determinate",1,0.1,0,1e-04,1.5,0.1,"uniform",2.5,NA,5,0,1.5,0
"determinate",1,0.1,0,1e-04,0.05,0.5,"uniform",2.5,NA,5,0,0.05,0
"determinate",1,0.1,0,1e-04,0.1,0.5,"uniform",2.5,NA,5,0,0.1,0
"determinate",1,0.1,0,1e-04,0.5,0.5,"uniform",2.5,NA,5,0,0.5,0
"determinate",1,0.1,0,1e-04,1,0.5,"uniform",2.5,NA,5,0,1,0
"determinate",1,0.1,0,1e-04,1.5,0.5,"uniform",2.5,NA,5,0,1.5,0
"determinate",1,0.1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05,0
"determinate",1,0.1,0,1e-04,0.1,1,"uniform",2.5,NA,5,0,0.1,0
"determinate",1,0.1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5,0
"determinate",1,0.1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1,0
"determinate",1,0.1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5,0
"determinate",1,0.1,0,1e-04,0.05,1.5,"uniform",2.5,NA,5,0,0.05,0
"determinate",1,0.1,0,1e-04,0.1,1.5,"uniform",2.5,NA,5,0,0.1,0
"determinate",1,0.1,0,1e-04,0.5,1.5,"uniform",2.5,NA,5,0,0.5,0
"determinate",1,0.1,0,1e-04,1,1.5,"uniform",2.5,NA,5,0,1,0
"determinate",1,0.1,0,1e-04,1.5,1.5,"uniform",2.5,NA,5,0,1.5,0
"determinate",1,0.1,0,1e-04,0.05,0.05,"uniform",2.5,NA,5,0,0.05,0.5
"determinate",1,0.1,0,1e-04,0.1,0.05,"uniform",2.5,NA,5,0,0.1,0.5
"determinate",1,0.1,0,1e-04,0.5,0.05,"uniform",2.5,NA,5,0,0.5,0.5
"determinate",1,0.1,0,1e-04,1,0.05,"uniform",2.5,NA,5,0,1,0.5
"determinate",1,0.1,0,1e-04,1.5,0.05,"uniform",2.5,NA,5,0,1.5,0.5
"determinate",1,0.1,0,1e-04,0.05,0.1,"uniform",2.5,NA,5,0,0.05,0.5
"determinate",1,0.1,0,1e-04,0.1,0.1,"uniform",2.5,NA,5,0,0.1,0.5
"determinate",1,0.1,0,1e-04,0.5,0.1,"uniform",2.5,NA,5,0,0.5,0.5
"determinate",1,0.1,0,1e-04,1,0.1,"uniform",2.5,NA,5,0,1,0.5
"determinate",1,0.1,0,1e-04,1.5,0.1,"uniform",2.5,NA,5,0,1.5,0.5
"determinate",1,0.1,0,1e-04,0.05,0.5,"uniform",2.5,NA,5,0,0.05,0.5
"determinate",1,0.1,0,1e-04,0.1,0.5,"uniform",2.5,NA,5,0,0.1,0.5
"determinate",1,0.1,0,1e-04,0.5,0.5,"uniform",2.5,NA,5,0,0.5,0.5
"determinate",1,0.1,0,1e-04,1,0.5,"uniform",2.5,NA,5,0,1,0.5
"determinate",1,0.1,0,1e-04,1.5,0.5,"uniform",2.5,NA,5,0,1.5,0.5
"determinate",1,0.1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05,0.5
"determinate",1,0.1,0,1e-04,0.1,1,"uniform",2.5,NA,5,0,0.1,0.5
"determinate",1,0.1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5,0.5
"determinate",1,0.1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1,0.5
"determinate",1,0.1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5,0.5
"determinate",1,0.1,0,1e-04,0.05,1.5,"uniform",2.5,NA,5,0,0.05,0.5
"determinate",1,0.1,0,1e-04,0.1,1.5,"uniform",2.5,NA,5,0,0.1,0.5
"determinate",1,0.1,0,1e-04,0.5,1.5,"uniform",2.5,NA,5,0,0.5,0.5
"determinate",1,0.1,0,1e-04,1,1.5,"uniform",2.5,NA,5,0,1,0.5
"determinate",1,0.1,0,1e-04,1.5,1.5,"uniform",2.5,NA,5,0,1.5,0.5
"determinate",1,0.1,0,1e-04,0.05,0.05,"uniform",2.5,NA,5,0,0.05,1
"determinate",1,0.1,0,1e-04,0.1,0.05,"uniform",2.5,NA,5,0,0.1,1
"determinate",1,0.1,0,1e-04,0.5,0.05,"uniform",2.5,NA,5,0,0.5,1
