"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2"
"unbranchedDeterminate",1,0.1,0,1e-04,0.05,0.5,"uniform",2.5,NA,5,0,0.05
"branchedDeterminate",1,0.1,0,1e-04,0.05,0.5,"uniform",2.5,NA,5,0,0.05
"unbranchedDeterminate",1,0.1,0,1e-04,0.25,0.5,"uniform",2.5,NA,5,0,0.25
"branchedDeterminate",1,0.1,0,1e-04,0.25,0.5,"uniform",2.5,NA,5,0,0.25
"unbranchedDeterminate",1,0.1,0,1e-04,0.5,0.5,"uniform",2.5,NA,5,0,0.5
"branchedDeterminate",1,0.1,0,1e-04,0.5,0.5,"uniform",2.5,NA,5,0,0.5
"unbranchedDeterminate",1,0.1,0,1e-04,1,0.5,"uniform",2.5,NA,5,0,1
"branchedDeterminate",1,0.1,0,1e-04,1,0.5,"uniform",2.5,NA,5,0,1
"unbranchedDeterminate",1,0.1,0,1e-04,1.5,0.5,"uniform",2.5,NA,5,0,1.5
"branchedDeterminate",1,0.1,0,1e-04,1.5,0.5,"uniform",2.5,NA,5,0,1.5
"unbranchedDeterminate",1,0.1,0,1e-04,2,0.5,"uniform",2.5,NA,5,0,2
"branchedDeterminate",1,0.1,0,1e-04,2,0.5,"uniform",2.5,NA,5,0,2
"unbranchedDeterminate",1,0.1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05
"branchedDeterminate",1,0.1,0,1e-04,0.05,1,"uniform",2.5,NA,5,0,0.05
"unbranchedDeterminate",1,0.1,0,1e-04,0.25,1,"uniform",2.5,NA,5,0,0.25
"branchedDeterminate",1,0.1,0,1e-04,0.25,1,"uniform",2.5,NA,5,0,0.25
"unbranchedDeterminate",1,0.1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5
"branchedDeterminate",1,0.1,0,1e-04,0.5,1,"uniform",2.5,NA,5,0,0.5
"unbranchedDeterminate",1,0.1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1
"branchedDeterminate",1,0.1,0,1e-04,1,1,"uniform",2.5,NA,5,0,1
"unbranchedDeterminate",1,0.1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5
"branchedDeterminate",1,0.1,0,1e-04,1.5,1,"uniform",2.5,NA,5,0,1.5
"unbranchedDeterminate",1,0.1,0,1e-04,2,1,"uniform",2.5,NA,5,0,2
"branchedDeterminate",1,0.1,0,1e-04,2,1,"uniform",2.5,NA,5,0,2
"unbranchedDeterminate",1,0.1,0,1e-04,0.05,1.1,"uniform",2.5,NA,5,0,0.05
"branchedDeterminate",1,0.1,0,1e-04,0.05,1.1,"uniform",2.5,NA,5,0,0.05
"unbranchedDeterminate",1,0.1,0,1e-04,0.25,1.1,"uniform",2.5,NA,5,0,0.25
"branchedDeterminate",1,0.1,0,1e-04,0.25,1.1,"uniform",2.5,NA,5,0,0.25
"unbranchedDeterminate",1,0.1,0,1e-04,0.5,1.1,"uniform",2.5,NA,5,0,0.5
"branchedDeterminate",1,0.1,0,1e-04,0.5,1.1,"uniform",2.5,NA,5,0,0.5
"unbranchedDeterminate",1,0.1,0,1e-04,1,1.1,"uniform",2.5,NA,5,0,1
"branchedDeterminate",1,0.1,0,1e-04,1,1.1,"uniform",2.5,NA,5,0,1
"unbranchedDeterminate",1,0.1,0,1e-04,1.5,1.1,"uniform",2.5,NA,5,0,1.5
"branchedDeterminate",1,0.1,0,1e-04,1.5,1.1,"uniform",2.5,NA,5,0,1.5
"unbranchedDeterminate",1,0.1,0,1e-04,2,1.1,"uniform",2.5,NA,5,0,2
"branchedDeterminate",1,0.1,0,1e-04,2,1.1,"uniform",2.5,NA,5,0,2
"unbranchedDeterminate",1,0.1,0,1e-04,0.05,2,"uniform",2.5,NA,5,0,0.05
"branchedDeterminate",1,0.1,0,1e-04,0.05,2,"uniform",2.5,NA,5,0,0.05
"unbranchedDeterminate",1,0.1,0,1e-04,0.25,2,"uniform",2.5,NA,5,0,0.25
"branchedDeterminate",1,0.1,0,1e-04,0.25,2,"uniform",2.5,NA,5,0,0.25
"unbranchedDeterminate",1,0.1,0,1e-04,0.5,2,"uniform",2.5,NA,5,0,0.5
"branchedDeterminate",1,0.1,0,1e-04,0.5,2,"uniform",2.5,NA,5,0,0.5
"unbranchedDeterminate",1,0.1,0,1e-04,1,2,"uniform",2.5,NA,5,0,1
"branchedDeterminate",1,0.1,0,1e-04,1,2,"uniform",2.5,NA,5,0,1
"unbranchedDeterminate",1,0.1,0,1e-04,1.5,2,"uniform",2.5,NA,5,0,1.5
"branchedDeterminate",1,0.1,0,1e-04,1.5,2,"uniform",2.5,NA,5,0,1.5
"unbranchedDeterminate",1,0.1,0,1e-04,2,2,"uniform",2.5,NA,5,0,2
"branchedDeterminate",1,0.1,0,1e-04,2,2,"uniform",2.5,NA,5,0,2
