"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"determinate",0.5,2,0,0,0.25,0.25,"uniform",NA,NA,5,2.5,0.25,0
"determinate",0.5,2,0,0,0.5,0.25,"uniform",NA,NA,5,2.5,0.5,0
"determinate",0.5,2,0,0,0.75,0.25,"uniform",NA,NA,5,2.5,0.75,0
"determinate",0.5,2,0,0,1,0.25,"uniform",NA,NA,5,2.5,1,0
"determinate",0.5,2,0,0,0.25,0.5,"uniform",NA,NA,5,2.5,0.25,0
"determinate",0.5,2,0,0,0.5,0.5,"uniform",NA,NA,5,2.5,0.5,0
"determinate",0.5,2,0,0,0.75,0.5,"uniform",NA,NA,5,2.5,0.75,0
"determinate",0.5,2,0,0,1,0.5,"uniform",NA,NA,5,2.5,1,0
"determinate",0.5,2,0,0,0.25,0.75,"uniform",NA,NA,5,2.5,0.25,0
"determinate",0.5,2,0,0,0.5,0.75,"uniform",NA,NA,5,2.5,0.5,0
"determinate",0.5,2,0,0,0.75,0.75,"uniform",NA,NA,5,2.5,0.75,0
"determinate",0.5,2,0,0,1,0.75,"uniform",NA,NA,5,2.5,1,0
"determinate",0.5,2,0,0,0.25,1,"uniform",NA,NA,5,2.5,0.25,0
"determinate",0.5,2,0,0,0.5,1,"uniform",NA,NA,5,2.5,0.5,0
"determinate",0.5,2,0,0,0.75,1,"uniform",NA,NA,5,2.5,0.75,0
"determinate",0.5,2,0,0,1,1,"uniform",NA,NA,5,2.5,1,0
"determinate",0.5,2,0,0,0.25,0.25,"uniform",NA,NA,5,2.5,0.25,1
"determinate",0.5,2,0,0,0.5,0.25,"uniform",NA,NA,5,2.5,0.5,1
"determinate",0.5,2,0,0,0.75,0.25,"uniform",NA,NA,5,2.5,0.75,1
"determinate",0.5,2,0,0,1,0.25,"uniform",NA,NA,5,2.5,1,1
"determinate",0.5,2,0,0,0.25,0.5,"uniform",NA,NA,5,2.5,0.25,1
