"model","P","V","I","L","m1","alpha","seasonDistribution","mu","sd","max","min","m2","gamma"
"determinate",1,1,0,0,0.5,0.5,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.5,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.5,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.5,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.5,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.5,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.5,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.5,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.5,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.5,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.5,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.55,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.55,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.55,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.55,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.55,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.55,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.55,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.55,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.55,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.55,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.55,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.6,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.6,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.6,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.6,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.6,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.6,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.6,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.6,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.6,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.6,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.6,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.65,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.65,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.65,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.65,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.65,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.65,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.65,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.65,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.65,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.65,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.65,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.7,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.7,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.7,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.7,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.7,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.7,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.7,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.7,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.7,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.7,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.7,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.75,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.75,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.75,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.75,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.75,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.75,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.75,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.75,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.75,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.75,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.75,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.8,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.8,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.8,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.8,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.8,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.8,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.8,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.8,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.8,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.8,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.8,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.85,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.85,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.85,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.85,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.85,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.85,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.85,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.85,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.85,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.85,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.85,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.9,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.9,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.9,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.9,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.9,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.9,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.9,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.9,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.9,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.9,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.9,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.95,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,0.95,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,0.95,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,0.95,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,0.95,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,0.95,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,0.95,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,0.95,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,0.95,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,0.95,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,0.95,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,1,"uniform",NA,NA,5,2.5,0.5,0
"determinate",1,1,0,0,0.55,1,"uniform",NA,NA,5,2.5,0.55,0
"determinate",1,1,0,0,0.6,1,"uniform",NA,NA,5,2.5,0.6,0
"determinate",1,1,0,0,0.65,1,"uniform",NA,NA,5,2.5,0.65,0
"determinate",1,1,0,0,0.7,1,"uniform",NA,NA,5,2.5,0.7,0
"determinate",1,1,0,0,0.75,1,"uniform",NA,NA,5,2.5,0.75,0
"determinate",1,1,0,0,0.8,1,"uniform",NA,NA,5,2.5,0.8,0
"determinate",1,1,0,0,0.85,1,"uniform",NA,NA,5,2.5,0.85,0
"determinate",1,1,0,0,0.9,1,"uniform",NA,NA,5,2.5,0.9,0
"determinate",1,1,0,0,0.95,1,"uniform",NA,NA,5,2.5,0.95,0
"determinate",1,1,0,0,1,1,"uniform",NA,NA,5,2.5,1,0
"determinate",1,1,0,0,0.5,0.5,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.5,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.5,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.5,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.5,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.5,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.5,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.5,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.5,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.5,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.5,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.55,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.55,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.55,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.55,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.55,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.55,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.55,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.55,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.55,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.55,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.55,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.6,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.6,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.6,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.6,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.6,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.6,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.6,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.6,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.6,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.6,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.6,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.65,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.65,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.65,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.65,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.65,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.65,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.65,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.65,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.65,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.65,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.65,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.7,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.7,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.7,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.7,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.7,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.7,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.7,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.7,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.7,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.7,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.7,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.75,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.75,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.75,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.75,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.75,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.75,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.75,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.75,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.75,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.75,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.75,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.8,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.8,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.8,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.8,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.8,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.8,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.8,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.8,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.8,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.8,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.8,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.85,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.85,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.85,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.85,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.85,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.85,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.85,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.85,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.85,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.85,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.85,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.9,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.9,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.9,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.9,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.9,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.9,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.9,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.9,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.9,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.9,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.9,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.95,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,0.95,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,0.95,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,0.95,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,0.95,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,0.95,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,0.95,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,0.95,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,0.95,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,0.95,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,0.95,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,1,"uniform",NA,NA,5,2.5,0.5,0.5
"determinate",1,1,0,0,0.55,1,"uniform",NA,NA,5,2.5,0.55,0.5
"determinate",1,1,0,0,0.6,1,"uniform",NA,NA,5,2.5,0.6,0.5
"determinate",1,1,0,0,0.65,1,"uniform",NA,NA,5,2.5,0.65,0.5
"determinate",1,1,0,0,0.7,1,"uniform",NA,NA,5,2.5,0.7,0.5
"determinate",1,1,0,0,0.75,1,"uniform",NA,NA,5,2.5,0.75,0.5
"determinate",1,1,0,0,0.8,1,"uniform",NA,NA,5,2.5,0.8,0.5
"determinate",1,1,0,0,0.85,1,"uniform",NA,NA,5,2.5,0.85,0.5
"determinate",1,1,0,0,0.9,1,"uniform",NA,NA,5,2.5,0.9,0.5
"determinate",1,1,0,0,0.95,1,"uniform",NA,NA,5,2.5,0.95,0.5
"determinate",1,1,0,0,1,1,"uniform",NA,NA,5,2.5,1,0.5
"determinate",1,1,0,0,0.5,0.5,"uniform",NA,NA,5,2.5,0.5,1
